Successfully loaded: saved_agents\deep_q_learning\random\random-10000
Iteration: 1, learning state: observe, epsilon: 0.0075, did jump: Yes, reward: 0.1, Q_max: 0.00974472239613533
Iteration: 2, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.007989466190338135
Iteration: 3, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.006127919536083937
Iteration: 4, learning state: observe, epsilon: 0.0075, did jump: Yes, reward: 0.1, Q_max: 0.00039860978722572327
Iteration: 5, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: -0.00045183952897787094
Iteration: 6, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: -0.0005165282636880875
Iteration: 7, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: -0.00032215751707553864
Iteration: 8, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.0013348544016480446
Iteration: 9, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.0025912243872880936
Iteration: 10, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.0056056552566587925
Iteration: 11, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.004369331989437342
Iteration: 12, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.00399389024823904
Iteration: 13, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.0029419632628560066
Iteration: 14, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.002361895516514778
Iteration: 15, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.0031088110990822315
Iteration: 16, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.004476930480450392
Iteration: 17, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.005820899270474911
Iteration: 18, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.0019056545570492744
Iteration: 19, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.004071156959980726
Iteration: 20, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.00413003982976079
Iteration: 21, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.005307080689817667
Iteration: 22, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.005759354680776596
Iteration: 23, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.004368153400719166
Iteration: 24, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.0032303910702466965
Iteration: 25, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.0048148054629564285
Iteration: 26, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.0023579932749271393
Iteration: 27, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.0028205690905451775
Iteration: 28, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.003235042095184326
Iteration: 29, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.003896042238920927
Iteration: 30, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.007490092888474464
Iteration: 31, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.010264323092997074
Iteration: 32, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.008078467100858688
Iteration: 33, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.005704461596906185
Iteration: 34, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.0027951733209192753
Iteration: 35, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.006006769835948944
Iteration: 36, learning state: observe, epsilon: 0.0075, did jump: Yes, reward: 0.1, Q_max: 0.003932077903300524
Iteration: 37, learning state: observe, epsilon: 0.0075, did jump: Yes, reward: 0.1, Q_max: 0.007818452082574368
Iteration: 38, learning state: observe, epsilon: 0.0075, did jump: Yes, reward: 0.1, Q_max: 0.003533029928803444
Iteration: 39, learning state: observe, epsilon: 0.0075, did jump: Yes, reward: 0.1, Q_max: 0.0013631731271743774
Iteration: 40, learning state: observe, epsilon: 0.0075, did jump: Yes, reward: 0.1, Q_max: 0.0004774974659085274
Iteration: 41, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.00230114022269845
Iteration: 42, learning state: observe, epsilon: 0.0075, did jump: Yes, reward: 0.1, Q_max: 0.0024966495111584663
Iteration: 43, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.0024986686185002327
Iteration: 44, learning state: observe, epsilon: 0.0075, did jump: Yes, reward: 0.1, Q_max: 0.003192234318703413
Iteration: 45, learning state: observe, epsilon: 0.0075, did jump: Yes, reward: 0.1, Q_max: 0.0037111560814082623
Iteration: 46, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.004557230044156313
Iteration: 47, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.004558575805276632
Iteration: 48, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.009482222609221935
Iteration: 49, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.008634493686258793
Iteration: 50, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.007033470086753368
Iteration: 51, learning state: observe, epsilon: 0.0075, did jump: No, reward: 0.1, Q_max: 0.006796890404075384
